Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","27002","Holdings","1950","1950","ha","470003333","A","Official figure",""
"WCAD","Structural data from agricultural censuses","840","United States of America","5017","Average area","27002","Holdings","1950","1950","ha","87.22","A","Official figure",""
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","27002","Holdings","1950","1950","No","5388437","A","Official figure",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","270030","Holdings with land size 0-<1","1950","1950","ha","121593.99","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","270030","Holdings with land size 0-<1","1950","1950","No","62676","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","270031","Holdings with land size 1-<2","1950","1950","ha","254325.26","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","270031","Holdings with land size 1-<2","1950","1950","No","145190","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","270033","Holdings with land size 2-<5","1950","1950","ha","1447301.48","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","270033","Holdings with land size 2-<5","1950","1950","No","419101","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","270036","Holdings with land size 5-<10","1950","1950","ha","3924120.15","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","270036","Holdings with land size 5-<10","1950","1950","No","540269","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","270037","Holdings with land size 10-<20","1950","1950","ha","10962545.65","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","270037","Holdings with land size 10-<20","1950","1950","No","788097","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","270038","Holdings with land size 20-<50","1950","1950","ha","53615608.45","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","270038","Holdings with land size 20-<50","1950","1950","No","1426426","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","270039","Holdings with land size 50-<100","1950","1950","ha","75279582.14","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","270039","Holdings with land size 50-<100","1950","1950","No","1146601","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","2700300","Holdings with land size 100-<200","1950","1950","ha","72607093.68","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","2700300","Holdings with land size 100-<200","1950","1950","No","549025","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","2700301","Holdings with land size 200-<500","1950","1950","ha","252286154.2","I","Value imputed by a receiving agency","Data given in this classified table are based on reports for only a sample of holdings"
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","2700301","Holdings with land size 200-<500","1950","1950","No","311050","I","Value imputed by a receiving agency",""
"WCAD","Structural data from agricultural censuses","840","United States of America","50260","Area","270060","Holdings owned by the holder or in owner-like possession","1950","1950","ha","169604887","A","Official figure",""
"WCAD","Structural data from agricultural censuses","840","United States of America","6200","Percentage of total area","270060","Holdings owned by the holder or in owner-like possession","1950","1950","%","36.09","A","Official figure",""
"WCAD","Structural data from agricultural censuses","840","United States of America","60850","Number","270060","Holdings owned by the holder or in owner-like possession","1950","1950","No","3091666","A","Official figure",""
"WCAD","Structural data from agricultural censuses","840","United States of America","6201","Percent of total number","270060","Holdings owned by the holder or in owner-like possession","1950","1950","%","57.38","A","Official figure",""
